Date,Tm,X,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Player,RSorPO
1998-01-07,LAL,Home,MIL,W,0,20:00,4,7,0.57,0,1,0,9,10,0.9,1,1,2,2,2,1,3,2,17,14.6,Kobe Bryant,Regular Season
1998-01-09,LAL,Away,LAC,W,0,27:00,4,11,0.36,0,2,0,7,7,1,0,0,0,2,2,1,1,3,15,10.8,Kobe Bryant,Regular Season
1998-01-14,LAL,Home,DEN,W,0,23:00,3,8,0.38,1,3,0.33,7,8,0.88,1,2,3,5,0,0,2,1,14,11.6,Kobe Bryant,Regular Season
1998-01-17,LAL,Home,MIA,W,0,27:00,6,9,0.67,1,2,0.5,8,9,0.89,3,2,5,2,0,0,4,4,21,15.2,Kobe Bryant,Regular Season
1998-01-19,LAL,Home,ORL,W,0,31:00,4,7,0.57,1,2,0.5,7,7,1,1,1,2,1,1,1,1,0,16,15.1,Kobe Bryant,Regular Season
1998-01-21,LAL,Away,PHO,W,0,34:00,7,12,0.58,3,4,0.75,8,10,0.8,1,4,5,3,0,1,2,3,25,20.1,Kobe Bryant,Regular Season
1998-01-24,LAL,Away,SEA,L,0,33:00,6,14,0.43,1,4,0.25,5,8,0.62,1,3,4,0,0,1,3,5,18,6.7,Kobe Bryant,Regular Season
1998-01-28,LAL,Home,NJN,L,0,35:00,10,19,0.53,0,3,0,6,8,0.75,3,2,5,0,0,0,2,3,26,15.4,Kobe Bryant,Regular Season
1998-01-30,LAL,Home,MIN,W,0,30:00,7,16,0.44,2,3,0.67,6,9,0.67,2,1,3,7,0,0,4,4,22,13.4,Kobe Bryant,Regular Season
1998-02-01,LAL,Home,CHI,W,0,26:00,7,16,0.44,2,6,0.33,4,7,0.57,0,4,4,1,2,0,1,4,20,11.7,Kobe Bryant,Regular Season
1998-02-04,LAL,Home,POR,W,0,28:00,6,10,0.6,1,2,0.5,13,13,1,1,3,4,4,3,1,1,4,26,26.9,Kobe Bryant,Regular Season
1998-02-10,LAL,Away,POR,L,1,30:00,6,13,0.46,2,3,0.67,3,5,0.6,2,2,4,2,1,1,1,4,17,12,Kobe Bryant,Regular Season
1998-02-13,LAL,Home,SEA,L,0,41:00,4,13,0.31,0,4,0,7,7,1,1,2,3,6,0,1,1,1,15,12.3,Kobe Bryant,Regular Season
1998-02-18,LAL,Away,PHO,L,0,24:00,3,8,0.38,0,1,0,2,2,1,1,3,4,4,2,0,4,3,8,4.8,Kobe Bryant,Regular Season
1998-02-22,LAL,Away,ORL,L,0,37:00,6,15,0.4,2,3,0.67,4,5,0.8,0,3,3,4,2,0,2,1,18,12.8,Kobe Bryant,Regular Season
1998-02-24,LAL,Away,MIL,W,0,25:00,3,12,0.25,1,1,1,5,5,1,1,4,5,2,0,0,1,2,12,6.3,Kobe Bryant,Regular Season
1998-02-27,LAL,Away,MIN,W,0,26:00,4,12,0.33,1,4,0.25,5,6,0.83,0,3,3,4,1,1,2,2,14,9.4,Kobe Bryant,Regular Season
1998-03-01,LAL,Away,NYK,L,0,26:00,4,15,0.27,1,5,0.2,5,5,1,1,4,5,0,0,0,1,5,14,4,Kobe Bryant,Regular Season
