Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,RSorPO
1997-98,19,LAL,NBA,SG,79,1,2056,391,913,0.428,75,220,0.341,316,693,0.456,0.469,363,457,0.794,79,163,242,199,74,40,157,180,1220,Kobe Bryant,Regular Season
1998-99,20,LAL,NBA,SG,50,50,1896,362,779,0.465,27,101,0.267,335,678,0.494,0.482,245,292,0.839,53,211,264,190,72,50,157,153,996,Kobe Bryant,Regular Season
1999-00,21,LAL,NBA,SG,66,62,2524,554,1183,0.468,46,144,0.319,508,1039,0.489,0.488,331,403,0.821,108,308,416,323,106,62,182,220,1485,Kobe Bryant,Regular Season
2000-01,22,LAL,NBA,SG,68,68,2783,701,1510,0.464,61,200,0.305,640,1310,0.489,0.484,475,557,0.853,104,295,399,338,114,43,220,222,1938,Kobe Bryant,Regular Season
2001-02,23,LAL,NBA,SG,80,80,3063,749,1597,0.469,33,132,0.25,716,1465,0.489,0.479,488,589,0.829,112,329,441,438,118,35,223,228,2019,Kobe Bryant,Regular Season
2002-03,24,LAL,NBA,SG,82,82,3401,868,1924,0.451,124,324,0.383,744,1600,0.465,0.483,601,713,0.843,106,458,564,481,181,67,288,218,2461,Kobe Bryant,Regular Season
2003-04,25,LAL,NBA,SG,65,64,2447,516,1178,0.438,71,217,0.327,445,961,0.463,0.468,454,533,0.852,103,256,359,330,112,28,171,176,1557,Kobe Bryant,Regular Season
2004-05,26,LAL,NBA,SG,66,66,2689,573,1324,0.433,131,387,0.339,442,937,0.472,0.482,542,664,0.816,95,297,392,398,86,53,270,174,1819,Kobe Bryant,Regular Season
2005-06,27,LAL,NBA,SG,80,80,3277,978,2173,0.45,180,518,0.347,798,1655,0.482,0.491,696,819,0.85,71,354,425,360,147,30,250,233,2832,Kobe Bryant,Regular Season
2006-07,28,LAL,NBA,SG,77,77,3140,813,1757,0.463,137,398,0.344,676,1359,0.497,0.502,667,768,0.868,75,364,439,413,111,36,255,205,2430,Kobe Bryant,Regular Season
2007-08,29,LAL,NBA,SG,82,82,3192,775,1690,0.459,150,415,0.361,625,1275,0.49,0.503,623,742,0.84,94,423,517,441,151,40,257,227,2323,Kobe Bryant,Regular Season
2008-09,30,LAL,NBA,SG,82,82,2960,800,1712,0.467,118,336,0.351,682,1376,0.496,0.502,483,564,0.856,90,339,429,399,120,37,210,189,2201,Kobe Bryant,Regular Season
2009-10,31,LAL,NBA,SG,73,73,2835,716,1569,0.456,99,301,0.329,617,1268,0.487,0.488,439,541,0.811,78,313,391,365,113,20,233,187,1970,Kobe Bryant,Regular Season
2010-11,32,LAL,NBA,SG,82,82,2779,740,1639,0.451,115,356,0.323,625,1283,0.487,0.487,483,583,0.828,83,336,419,388,99,12,243,172,2078,Kobe Bryant,Regular Season
2011-12,33,LAL,NBA,SG,58,58,2232,574,1336,0.43,87,287,0.303,487,1049,0.464,0.462,381,451,0.845,66,247,313,264,69,18,204,105,1616,Kobe Bryant,Regular Season
2012-13,34,LAL,NBA,SG,78,78,3013,738,1595,0.463,132,407,0.324,606,1188,0.51,0.504,525,626,0.839,66,367,433,469,106,25,287,173,2133,Kobe Bryant,Regular Season
2013-14,35,LAL,NBA,SG,6,6,177,31,73,0.425,3,16,0.188,28,57,0.491,0.445,18,21,0.857,2,24,26,38,7,1,34,9,83,Kobe Bryant,Regular Season
2014-15,36,LAL,NBA,SG,35,35,1207,266,713,0.373,54,184,0.293,212,529,0.401,0.411,196,241,0.813,26,173,199,197,47,7,128,65,782,Kobe Bryant,Regular Season
2015-16,37,LAL,NBA,SF,66,66,1863,398,1113,0.358,133,467,0.285,265,646,0.41,0.417,232,281,0.826,41,206,247,184,62,13,129,115,1161,Kobe Bryant,Regular Season
1996-97,18,LAL,NBA,SG,9,0,133,21,55,0.382,6,23,0.261,15,32,0.469,0.436,26,30,0.867,1,10,11,11,3,2,14,23,74,Kobe Bryant,Playoffs
1997-98,19,LAL,NBA,SG,11,0,220,31,76,0.408,3,14,0.214,28,62,0.452,0.428,31,45,0.689,7,14,21,16,3,8,11,28,96,Kobe Bryant,Playoffs
1998-99,20,LAL,NBA,SG,8,8,315,61,142,0.43,8,23,0.348,53,119,0.445,0.458,28,35,0.8,13,42,55,37,15,10,31,24,158,Kobe Bryant,Playoffs
1999-00,21,LAL,NBA,SG,22,22,857,174,394,0.442,22,64,0.344,152,330,0.461,0.47,95,126,0.754,26,72,98,97,32,32,55,89,465,Kobe Bryant,Playoffs
2000-01,22,LAL,NBA,SG,16,16,694,168,358,0.469,11,34,0.324,157,324,0.485,0.485,124,151,0.821,29,87,116,97,25,12,51,53,471,Kobe Bryant,Playoffs
2001-02,23,LAL,NBA,SG,19,19,833,187,431,0.434,22,58,0.379,165,373,0.442,0.459,110,145,0.759,28,83,111,87,27,17,54,65,506,Kobe Bryant,Playoffs
2002-03,24,LAL,NBA,SG,12,12,531,137,317,0.432,25,62,0.403,112,255,0.439,0.472,86,104,0.827,16,45,61,62,14,1,42,35,385,Kobe Bryant,Playoffs
2003-04,25,LAL,NBA,SG,22,22,973,190,460,0.413,24,97,0.247,166,363,0.457,0.439,135,166,0.813,18,86,104,121,42,7,61,59,539,Kobe Bryant,Playoffs
2005-06,27,LAL,NBA,SG,7,7,314,72,145,0.497,14,35,0.4,58,110,0.527,0.545,37,48,0.771,4,40,44,36,8,3,33,25,195,Kobe Bryant,Playoffs
2006-07,28,LAL,NBA,SG,5,5,215,60,130,0.462,10,28,0.357,50,102,0.49,0.5,34,37,0.919,1,25,26,22,5,2,22,10,164,Kobe Bryant,Playoffs
2007-08,29,LAL,NBA,SG,21,21,863,222,463,0.479,32,106,0.302,190,357,0.532,0.514,157,194,0.809,18,101,119,117,35,8,70,59,633,Kobe Bryant,Playoffs
2008-09,30,LAL,NBA,SG,23,23,940,242,530,0.457,37,106,0.349,205,424,0.483,0.492,174,197,0.883,19,104,123,126,38,21,59,59,695,Kobe Bryant,Playoffs
2009-10,31,LAL,NBA,SG,23,23,923,234,511,0.458,49,131,0.374,185,380,0.487,0.506,154,183,0.842,26,112,138,126,31,16,79,75,671,Kobe Bryant,Playoffs
2010-11,32,LAL,NBA,SG,10,10,354,83,186,0.446,12,41,0.293,71,145,0.49,0.478,50,61,0.82,8,26,34,33,16,3,31,23,228,Kobe Bryant,Playoffs
2011-12,33,LAL,NBA,SG,12,12,476,132,301,0.439,17,60,0.283,115,241,0.477,0.467,79,95,0.832,16,42,58,52,16,2,34,33,360,Kobe Bryant,Playoffs
